nirvana,TO,endpoint,TO,reach,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དུས་,གསུམ་,དུ་,རྣམ་པ ར་,བཞུགས་པ,འི་,སངས་རྒྱས་,ཐམས་ཅད་,ཀྱང་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ་,ལ་,བརྟེན་,ནས་,བླ་ ན་ མེད་པ་,ཡང་དག་པ ར་,རྫོགས་པ,འི་,བྱང་ཆུབ་,ཏུ་,མངོན་པ ར་,རྫོགས་པ ར་,སངས་ རྒྱས་,སོ།།,,,,,,,,,,,,,
tü,sum,tu,nampa r,zhukpa,'i,sangyé,thamché,kyang,sherab,kyi,pharol,tu,chinpa,la,ten,né,la na mepa,yangtakpa r,dzokpa,'i,changchub,tu,ngönpa r,dzokpa r,sang gyé,so,,,,,,,,,,,,,
time,three,TO,completely,stay,OF,buddha,all,also,wisdom,OF,other shore,TO,gone,TO,rely,THEN,unsurpassable,perfect,complete,OF,enlightenment,TO,manifestly,completely,awaken,END,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དེ་ལྟ་བས་ན་,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ་,འི་,སྔགས།,རིག་པ་,ཆེན་པོ,འི་,སྔགས།,བླ་ ན་ མེད་པ,འི་,སྔགས།,མི་ མཉམ་པ་,དང་,མཉམ་པ,ར་,བྱེད་པ,འི་,སྔགས།,སྡུག་བསྔལ་,ཐམས་ཅད་,རབ་,ཏུ་,ཞི་བ,ར་,བྱེད་པ,འི་,སྔགས།,མི་ རྫུན་པ,ས་,ན་,བདེན་པ,ར་,ཤེས་པ,ར་,བྱ་,སྟེ།
tetawéna,sherab,kyi,pharol,tu,chinpa,'i,ngak,rigpa,chenpo,'i,ngak,la na mepa,'i,ngak,mi nyampa,tang,nyampa,r,chepa,'i,ngak,duk ngal,thamché,rab,tu,zhiwa,r,chepa,'i,ngak,mi dzünpé,,na,denpa,r,shepa,r,cha,té
therefore,wisdom,OF,other shore,TO,gone,OF,mantra,knowledge,great,OF,mantra,unsurpassable,OF,mantra,unequaled,and,equal,TO,do,OF,mantra,suffering,all,perfect,TO,pacify,TO,do,OF,mantra,not lying,SUBJ,because,truth,TO,know,TO,do,THEN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ,འི་,སྔགས་,སྨྲས་པ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sherab,kyi,pharol,tu,chinpa,'i,ngak,mepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wisdom,OF,other shore,TO,gone,OF,mantra,declare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཏདྱཐཱ།,ག་ཏེ་ག་ཏེ་པཱ་ར་ག་ཏེ་པཱ་ར་སཾ་ག་ཏེ་བོ་དྷི་སྭཱ་ཧཱ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
